condition,task,disturbance,episode,seed,success,disturbance_fired,recovered,steps,total_reward,trigger_step,final_can_x,final_can_y,final_can_z,training_seed,budget
baseline,cereal,action_delay,6,400033,False,True,False,260,1.6255095872264698,5.0,0.1488971263170242,-0.2245001494884491,0.8946420550346375,27,0
baseline,cereal,action_delay,7,400034,False,True,False,260,2.330691733655296,5.0,0.1833958476781845,-0.2512988448143005,0.8951565623283386,27,0
baseline,cereal,gripper_slip,0,400027,False,True,False,260,7.394663843506574,39.0,0.0222797021269798,-0.3148074746131897,0.8307632803916931,27,0
baseline,cereal,gripper_slip,1,400028,False,True,False,260,4.300275482224514,44.0,0.2296257019042968,-0.3463422656059265,0.8308034539222717,27,0
baseline,cereal,gripper_slip,2,400029,False,True,False,260,4.404590485874159,46.0,0.0582131072878837,-0.3516483008861542,0.8946318626403809,27,0
baseline,cereal,gripper_slip,3,400030,False,True,False,260,7.181430512824968,39.0,0.1237577721476554,-0.2470001280307769,0.8307362794876099,27,0
baseline,cereal,gripper_slip,4,400031,False,True,False,260,8.048753083422858,44.0,-0.0215531606227159,-0.3593641519546509,0.8308207392692566,27,0
baseline,cereal,gripper_slip,5,400032,False,True,False,260,2.606973558623672,45.0,0.2031545788049698,-0.4194712936878204,0.8946346640586853,27,0
baseline,cereal,gripper_slip,6,400033,False,True,False,260,5.602032701462634,40.0,0.2014107853174209,-0.2804517149925232,0.8307605981826782,27,0
baseline,cereal,gripper_slip,7,400034,False,True,False,260,5.152269473490642,42.0,0.221272811293602,-0.2977148592472076,0.894633948802948,27,0
more_demos,can,nominal,0,400027,True,False,False,125,53.1742890321286,,0.1888390183448791,0.3880468010902405,0.8619170188903809,27,500
more_demos,can,nominal,1,400028,True,False,False,117,45.86114986995116,,0.1779994070529937,0.3924545645713806,0.8604525327682495,27,500
more_demos,can,nominal,2,400029,True,False,False,142,47.0511048002108,,0.16972216963768,0.3980516493320465,0.8602439761161804,27,500
more_demos,can,nominal,3,400030,True,False,False,123,51.89858630690069,,0.1827786415815353,0.3955170214176178,0.8600489497184753,27,500
more_demos,can,nominal,4,400031,True,False,False,139,45.20425062873297,,0.1834350675344467,0.3899984657764435,0.8599807024002075,27,500
more_demos,can,nominal,5,400032,True,False,False,116,47.267158168258526,,0.1781410872936248,0.3914287686347961,0.8597560524940491,27,500
more_demos,can,nominal,6,400033,True,False,False,137,49.97443256714092,,0.1863434016704559,0.4029234945774078,0.8600931763648987,27,500
more_demos,can,nominal,7,400034,True,False,False,130,49.31300624450659,,0.1908120661973953,0.3993354141712188,0.8600632548332214,27,500
more_demos,can,object_shift,0,400027,False,True,False,260,0.3462022998846762,14.0,-0.2452478259801864,-0.2298910468816757,0.34351846575737,27,500
more_demos,can,object_shift,1,400028,True,True,True,129,46.498457079421776,14.0,0.1746709048748016,0.3926438391208648,0.8608736395835876,27,500
