logging_scheme,delay_candidate_hops,method,target_budget,logging_seeds,success_mean,success_std,intervention_mean,precision_mean
adaptive_value,0,dr_learner,0.1,5,0.5033333333333333,0.013307266185559434,0.1,0.5416666666666667
adaptive_value,0,dr_learner,0.25,5,0.6075,0.010374916331657323,0.25,0.6333333333333333
adaptive_value,0,dr_learner,0.5,5,0.7583333333333333,0.02263079269000046,0.5,0.6216666666666667
adaptive_value,0,dr_learner,0.75,5,0.8983333333333334,0.021368135674930157,0.75,0.6055555555555555
adaptive_value,0,reversibility_proxy,0.1,5,0.5233333333333333,0.01782437469683952,0.1,0.7333333333333333
adaptive_value,0,reversibility_proxy,0.25,5,0.6208333333333333,0.028105703256733432,0.25,0.6833333333333333
adaptive_value,0,reversibility_proxy,0.5,5,0.7775000000000001,0.02578624741127634,0.5,0.655
adaptive_value,0,reversibility_proxy,0.75,5,0.9016666666666667,0.03639577966987076,0.75,0.6033333333333333
adaptive_value,1,paired_label_oracle,0.1,5,0.5125,0.0,0.1,0.625
adaptive_value,1,paired_label_oracle,0.25,5,0.625,0.0,0.25,0.7166666666666667
adaptive_value,1,paired_label_oracle,0.5,5,0.775,0.0,0.5,0.6583333333333333
adaptive_value,1,paired_label_oracle,0.75,5,0.8791666666666667,0.0,0.75,0.5833333333333334
adaptive_value,1,t_learner,0.1,5,0.5083333333333334,0.014731391274719719,0.1,0.6
adaptive_value,1,t_learner,0.25,5,0.5883333333333334,0.01849361751764346,0.25,0.58
adaptive_value,1,t_learner,0.5,5,0.7166666666666667,0.037499999999999985,0.5,0.5616666666666668
adaptive_value,1,t_learner,0.75,5,0.8383333333333333,0.06224949798994367,0.75,0.5455555555555556
adaptive_value,1,dr_learner,0.1,5,0.49333333333333335,0.013043729868748763,0.1,0.475
adaptive_value,1,dr_learner,0.25,5,0.5841666666666667,0.0148487747343379,0.25,0.5633333333333332
adaptive_value,1,dr_learner,0.5,5,0.7016666666666667,0.027099354235848493,0.5,0.5466666666666666
adaptive_value,1,dr_learner,0.75,5,0.8333333333333334,0.043700368673756325,0.75,0.5444444444444445
adaptive_value,1,reversibility_proxy,0.1,5,0.5075,0.015138251770487469,0.1,0.575
adaptive_value,1,reversibility_proxy,0.25,5,0.5816666666666667,0.02578624741127633,0.25,0.5333333333333334
adaptive_value,1,reversibility_proxy,0.5,5,0.7108333333333333,0.018773133876781384,0.5,0.5333333333333334
adaptive_value,1,reversibility_proxy,0.75,5,0.8425,0.05836308764964376,0.75,0.5533333333333333
adaptive_value,2,paired_label_oracle,0.1,5,0.5083333333333333,0.0,0.1,0.625
adaptive_value,2,paired_label_oracle,0.25,5,0.6,0.0,0.25,0.6333333333333333
adaptive_value,2,paired_label_oracle,0.5,5,0.7333333333333333,0.0,0.5,0.575
adaptive_value,2,paired_label_oracle,0.75,5,0.7833333333333333,0.0,0.75,0.49444444444444446
adaptive_value,2,t_learner,0.1,5,0.49416666666666664,0.017330528619237836,0.1,0.5
adaptive_value,2,t_learner,0.25,5,0.5625,0.023570226039551608,0.25,0.5166666666666667
adaptive_value,2,t_learner,0.5,5,0.6491666666666667,0.04717726618239383,0.5,0.4683333333333334
adaptive_value,2,t_learner,0.75,5,0.7516666666666667,0.0487339717240448,0.75,0.46333333333333326
adaptive_value,2,dr_learner,0.1,5,0.48,0.017027347284752112,0.1,0.3916666666666667
adaptive_value,2,dr_learner,0.25,5,0.5516666666666666,0.014006446928309673,0.25,0.4633333333333334
adaptive_value,2,dr_learner,0.5,5,0.6441666666666667,0.030419520414073312,0.5,0.45166666666666666
adaptive_value,2,dr_learner,0.75,5,0.75,0.045643546458763846,0.75,0.4522222222222222
adaptive_value,2,reversibility_proxy,0.1,5,0.485,0.011257713405088585,0.1,0.375
adaptive_value,2,reversibility_proxy,0.25,5,0.5391666666666667,0.0326226318851056,0.25,0.38
adaptive_value,2,reversibility_proxy,0.5,5,0.6558333333333334,0.051251693738949895,0.5,0.45166666666666666
adaptive_value,2,reversibility_proxy,0.75,5,0.7541666666666667,0.04124789556921528,0.75,0.46777777777777774
