logging_scheme,logging_seed,logged_episodes,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
randomized,503,180,0.25,0.6041666666666666,0.25,0.6166666666666667,0.5845297533829239,0.7033849272028502
randomized,503,180,0.5,0.7583333333333333,0.5,0.6166666666666667,0.5845297533829239,0.7033849272028502
randomized,503,180,0.75,0.8791666666666667,0.75,0.5722222222222222,0.5845297533829239,0.7033849272028502
randomized,503,240,0.1,0.5,0.1,0.5,0.6077449452093417,0.6913046679945016
randomized,503,240,0.25,0.6208333333333333,0.25,0.6833333333333333,0.6077449452093417,0.6913046679945016
randomized,503,240,0.5,0.775,0.5,0.65,0.6077449452093417,0.6913046679945016
randomized,503,240,0.75,0.8916666666666667,0.75,0.5888888888888889,0.6077449452093417,0.6913046679945016
uncertainty_selective,101,60,0.1,0.5291666666666667,0.1,0.7916666666666666,0.7684566972169671,0.6220667237074649
uncertainty_selective,101,60,0.25,0.6375,0.25,0.75,0.7684566972169671,0.6220667237074649
uncertainty_selective,101,60,0.5,0.8083333333333333,0.5,0.7166666666666667,0.7684566972169671,0.6220667237074649
uncertainty_selective,101,60,0.75,0.9416666666666667,0.75,0.6555555555555556,0.7684566972169671,0.6220667237074649
uncertainty_selective,101,120,0.1,0.5125,0.1,0.625,0.6038839776326551,0.6881417089797178
uncertainty_selective,101,120,0.25,0.6208333333333333,0.25,0.6833333333333333,0.6038839776326551,0.6881417089797178
uncertainty_selective,101,120,0.5,0.7458333333333333,0.5,0.5916666666666667,0.6038839776326551,0.6881417089797178
uncertainty_selective,101,120,0.75,0.8875,0.75,0.5888888888888889,0.6038839776326551,0.6881417089797178
uncertainty_selective,101,180,0.1,0.5125,0.1,0.625,0.617186129902703,0.6944518472802761
uncertainty_selective,101,180,0.25,0.6125,0.25,0.65,0.617186129902703,0.6944518472802761
uncertainty_selective,101,180,0.5,0.7666666666666667,0.5,0.6333333333333333,0.617186129902703,0.6944518472802761
uncertainty_selective,101,180,0.75,0.8875,0.75,0.5833333333333334,0.617186129902703,0.6944518472802761
uncertainty_selective,101,240,0.1,0.5166666666666667,0.1,0.6666666666666666,0.6296441521111403,0.6801852189525065
uncertainty_selective,101,240,0.25,0.6125,0.25,0.65,0.6296441521111403,0.6801852189525065
uncertainty_selective,101,240,0.5,0.7541666666666667,0.5,0.6083333333333333,0.6296441521111403,0.6801852189525065
uncertainty_selective,101,240,0.75,0.9041666666666667,0.75,0.6055555555555555,0.6296441521111403,0.6801852189525065
uncertainty_selective,211,60,0.1,0.4875,0.1,0.4166666666666667,0.6669998632876436,0.6155987881168121
uncertainty_selective,211,60,0.25,0.5875,0.25,0.5666666666666667,0.6669998632876436,0.6155987881168121
uncertainty_selective,211,60,0.5,0.7125,0.5,0.5333333333333333,0.6669998632876436,0.6155987881168121
uncertainty_selective,211,60,0.75,0.8208333333333333,0.75,0.5111111111111111,0.6669998632876436,0.6155987881168121
uncertainty_selective,211,120,0.1,0.49583333333333335,0.1,0.4583333333333333,0.5973436351517472,0.6669881055909334
uncertainty_selective,211,120,0.25,0.6,0.25,0.6,0.5973436351517472,0.6669881055909334
uncertainty_selective,211,120,0.5,0.7375,0.5,0.6,0.5973436351517472,0.6669881055909334
uncertainty_selective,211,120,0.75,0.8833333333333333,0.75,0.5944444444444444,0.5973436351517472,0.6669881055909334
uncertainty_selective,211,180,0.1,0.48333333333333334,0.1,0.4166666666666667,0.634796948510833,0.6678884267960838
uncertainty_selective,211,180,0.25,0.6,0.25,0.6333333333333333,0.634796948510833,0.6678884267960838
uncertainty_selective,211,180,0.5,0.7583333333333333,0.5,0.6333333333333333,0.634796948510833,0.6678884267960838
uncertainty_selective,211,180,0.75,0.8541666666666666,0.75,0.5555555555555556,0.634796948510833,0.6678884267960838
uncertainty_selective,211,240,0.1,0.5208333333333334,0.1,0.7083333333333334,0.6133152323292003,0.6844913316688641
uncertainty_selective,211,240,0.25,0.6083333333333333,0.25,0.6333333333333333,0.6133152323292003,0.6844913316688641
uncertainty_selective,211,240,0.5,0.7666666666666667,0.5,0.6333333333333333,0.6133152323292003,0.6844913316688641
uncertainty_selective,211,240,0.75,0.9,0.75,0.6,0.6133152323292003,0.6844913316688641
uncertainty_selective,307,60,0.1,0.5,0.1,0.5,0.7011326394497688,0.5900207240440991
uncertainty_selective,307,60,0.25,0.5625,0.25,0.48333333333333334,0.7011326394497688,0.5900207240440991
uncertainty_selective,307,60,0.5,0.7083333333333334,0.5,0.525,0.7011326394497688,0.5900207240440991
uncertainty_selective,307,60,0.75,0.8625,0.75,0.5555555555555556,0.7011326394497688,0.5900207240440991
uncertainty_selective,307,120,0.1,0.5041666666666667,0.1,0.625,0.674497018307474,0.5841042023171655
uncertainty_selective,307,120,0.25,0.5541666666666667,0.25,0.4666666666666667,0.674497018307474,0.5841042023171655
uncertainty_selective,307,120,0.5,0.6833333333333333,0.5,0.49166666666666664,0.674497018307474,0.5841042023171655
uncertainty_selective,307,120,0.75,0.8208333333333333,0.75,0.5222222222222223,0.674497018307474,0.5841042023171655
uncertainty_selective,307,180,0.1,0.5,0.1,0.5,0.6489239201823817,0.6351945815917188
uncertainty_selective,307,180,0.25,0.6041666666666666,0.25,0.6166666666666667,0.6489239201823817,0.6351945815917188
uncertainty_selective,307,180,0.5,0.7458333333333333,0.5,0.6166666666666667,0.6489239201823817,0.6351945815917188
uncertainty_selective,307,180,0.75,0.8416666666666667,0.75,0.5611111111111111,0.6489239201823817,0.6351945815917188
uncertainty_selective,307,240,0.1,0.5,0.1,0.5,0.5879557077651625,0.6698337167223049
uncertainty_selective,307,240,0.25,0.6125,0.25,0.65,0.5879557077651625,0.6698337167223049
uncertainty_selective,307,240,0.5,0.775,0.5,0.65,0.5879557077651625,0.6698337167223049
uncertainty_selective,307,240,0.75,0.875,0.75,0.5944444444444444,0.5879557077651625,0.6698337167223049
