held_out_axis,held_out_value,logging_seed,method,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
disturbance,action_noise,101,reversibility_proxy,0.1,0.8333333333333334,0.10416666666666667,0.8,0.5568403532729966,0.7828073441069464
disturbance,action_noise,101,reversibility_proxy,0.25,0.875,0.25,0.5,0.5568403532729966,0.7828073441069464
disturbance,action_noise,101,reversibility_proxy,0.5,1.0,0.5,0.5,0.5568403532729966,0.7828073441069464
disturbance,action_noise,101,reversibility_proxy,0.75,1.0,0.75,0.3333333333333333,0.5568403532729966,0.7828073441069464
disturbance,action_noise,211,dr_learner,0.1,0.75,0.10416666666666667,0.0,0.574211929027951,0.7548438954226245
disturbance,action_noise,211,dr_learner,0.25,0.875,0.25,0.5,0.574211929027951,0.7548438954226245
disturbance,action_noise,211,dr_learner,0.5,0.9375,0.5,0.375,0.574211929027951,0.7548438954226245
disturbance,action_noise,211,dr_learner,0.75,0.9583333333333334,0.75,0.2777777777777778,0.574211929027951,0.7548438954226245
disturbance,action_noise,211,reversibility_proxy,0.1,0.8125,0.10416666666666667,0.6,0.5662742044458305,0.7972755732295457
disturbance,action_noise,211,reversibility_proxy,0.25,0.8541666666666666,0.25,0.4166666666666667,0.5662742044458305,0.7972755732295457
disturbance,action_noise,211,reversibility_proxy,0.5,0.875,0.5,0.2916666666666667,0.5662742044458305,0.7972755732295457
disturbance,action_noise,211,reversibility_proxy,0.75,0.9583333333333334,0.75,0.3055555555555556,0.5662742044458305,0.7972755732295457
disturbance,action_noise,307,dr_learner,0.1,0.75,0.10416666666666667,0.0,0.6141446745551472,0.7212962179541417
disturbance,action_noise,307,dr_learner,0.25,0.8333333333333334,0.25,0.3333333333333333,0.6141446745551472,0.7212962179541417
disturbance,action_noise,307,dr_learner,0.5,0.8541666666666666,0.5,0.20833333333333334,0.6141446745551472,0.7212962179541417
disturbance,action_noise,307,dr_learner,0.75,0.9166666666666666,0.75,0.2222222222222222,0.6141446745551472,0.7212962179541417
disturbance,action_noise,307,reversibility_proxy,0.1,0.7708333333333334,0.10416666666666667,0.2,0.5697466922948715,0.7695236483628056
disturbance,action_noise,307,reversibility_proxy,0.25,0.7708333333333334,0.25,0.08333333333333333,0.5697466922948715,0.7695236483628056
disturbance,action_noise,307,reversibility_proxy,0.5,0.8333333333333334,0.5,0.16666666666666666,0.5697466922948715,0.7695236483628056
disturbance,action_noise,307,reversibility_proxy,0.75,0.9583333333333334,0.75,0.2777777777777778,0.5697466922948715,0.7695236483628056
disturbance,gripper_slip,101,dr_learner,0.1,0.125,0.10416666666666667,0.8,0.7854870894160731,0.4773517998126589
